Time,l_per,l_abs,b_per,b_abs
1776795892,23.1,5511,14.1,2614
1776795895,23.1,5511,14.1,2614
1776795896,23.1,5511,14.1,2614
1776795901,23.1,5511,14.1,2615
1776795901,23.1,5511,14.1,2615
1776795902,23.1,5511,14.1,2615
1776795903,23.1,5511,14.1,2615
1776795904,23.1,5511,14.1,2615
1776795905,23.1,5511,14.1,2615
1776795906,23.1,5511,14.1,2615
1776795908,23.1,5511,14.1,2615
1776795909,23.1,5511,14.1,2615
1776795910,23.1,5511,14.1,2615
1776795910,23.1,5511,14.1,2615
1776795911,23.1,5511,14.1,2615
1776795915,23.1,5511,14.1,2616
1776795915,23.1,5511,14.1,2616
1776795916,23.1,5511,14.1,2616
1776795917,23.1,5511,14.1,2616
1776795919,23.1,5513,14.2,2621
1776795920,23.1,5513,14.2,2622
1776795920,23.1,5513,14.2,2622
1776795921,23.1,5513,14.2,2622
1776795923,23.1,5513,14.2,2622
1776795950,23.1,5513,14.2,2623
1776795953,23.1,5514,14.2,2625
1776795967,23.1,5514,14.2,2625
1776795968,23.1,5514,14.2,2625
1776795970,23.1,5514,14.2,2625
1776795971,23.1,5514,14.2,2625
1776795973,23.1,5514,14.2,2625
1776795976,23.1,5514,14.2,2625
1776795977,23.1,5514,14.2,2625
1776795978,23.1,5514,14.2,2625
1776795980,23.1,5514,14.2,2625
1776795981,23.1,5514,14.2,2625
1776795983,23.1,5514,14.2,2625
1776795984,23.1,5514,14.2,2625
1776795986,23.1,5514,14.2,2625
1776795987,23.1,5514,14.2,2625
1776795989,23.1,5514,14.2,2625
1776795992,23.1,5514,14.2,2625
1776795993,23.1,5514,14.2,2625
1776795993,23.1,5514,14.2,2625
1776795996,23.1,5514,14.2,2625
1776795997,23.1,5514,14.2,2625
1776796001,23.1,5514,14.2,2625
1776796004,23.1,5514,14.2,2625
1776796007,23.1,5514,14.2,2625
1776796010,23.1,5514,14.2,2625
1776796012,23.1,5514,14.2,2625
1776796013,23.1,5514,14.2,2625
1776796017,23.1,5514,14.2,2625
1776796018,23.1,5514,14.2,2625
1776796018,23.1,5514,14.2,2625
1776796021,23.1,5514,14.2,2625
1776796023,23.1,5521,14.2,2629
1776796025,23.1,5521,14.2,2630
1776796030,23.1,5521,14.2,2630
1776796034,23.1,5523,14.2,2631
1776796036,23.1,5523,14.2,2631
1776796040,23.1,5523,14.2,2631
1776796045,23.1,5523,14.2,2631
1776796047,23.1,5523,14.2,2631
1776796051,23.1,5523,14.2,2631
1776796051,23.1,5523,14.2,2631
1776796053,23.1,5523,14.2,2631
1776796054,23.1,5523,14.2,2631
1776796056,23.1,5523,14.2,2631
1776796074,23.2,5527,14.2,2638
1776796076,23.2,5527,14.2,2638
1776796085,23.2,5529,14.3,2649
1776796086,23.2,5529,14.3,2649
1776796087,23.2,5529,14.3,2649
1776796088,23.2,5529,14.3,2649
1776796089,23.2,5532,14.3,2650
1776796091,23.2,5532,14.3,2650
1776796092,23.3,5560,14.4,2664
1776796093,23.3,5560,14.4,2664
1776796093,23.3,5560,14.4,2665
1776796094,23.3,5560,14.4,2665
1776796095,23.3,5560,14.4,2665
1776796096,23.3,5560,14.4,2665
1776796106,23.3,5560,14.4,2665
1776796106,23.4,5587,14.5,2688
1776796108,23.4,5588,14.5,2691
1776796109,23.4,5588,14.5,2691
1776796110,23.4,5588,14.5,2691
1776796114,23.4,5588,14.5,2691
1776796115,23.4,5588,14.5,2691
1776796115,23.4,5588,14.5,2691
1776796117,23.4,5588,14.5,2691
1776796117,23.4,5588,14.5,2691
1776796118,23.4,5588,14.5,2694
1776796120,23.4,5589,14.6,2697
1776796121,23.4,5589,14.6,2697
1776796122,23.4,5589,14.6,2697
1776796123,23.4,5589,14.6,2697
1776796124,23.4,5589,14.6,2697
1776796126,23.4,5589,14.6,2697
1776796162,23.4,5589,14.6,2697
1776796163,23.4,5590,14.6,2698
1776796165,23.4,5590,14.6,2698
1776796167,23.4,5590,14.6,2698
1776796169,23.4,5590,14.6,2698
1776796172,23.4,5590,14.6,2698
1776796174,23.4,5590,14.6,2700
1776796175,23.4,5590,14.6,2700
1776796180,23.4,5590,14.6,2700
1776796182,23.4,5590,14.6,2700
1776796183,23.4,5590,14.6,2700
1776796186,23.4,5590,14.6,2700
1776796187,23.4,5590,14.6,2700
1776796188,23.4,5592,14.6,2701
1776796189,23.4,5592,14.6,2702
1776796190,23.4,5592,14.6,2702
1776796192,23.4,5592,14.6,2702
1776796194,23.4,5594,14.6,2704
1776796195,23.4,5594,14.6,2704
1776796199,23.5,5599,14.6,2712
1776796200,23.5,5599,14.6,2712
1776796202,23.5,5599,14.7,2716
1776796213,23.5,5599,14.7,2716
1776796214,23.5,5599,14.7,2716
1776796216,23.5,5599,14.7,2717
1776796217,23.5,5599,14.7,2717
1776796219,23.5,5599,14.7,2717
1776796221,23.5,5599,14.7,2717
1776796222,23.5,5599,14.7,2717
1776796224,23.5,5599,14.7,2717
1776796225,23.5,5599,14.7,2717
1776796227,23.5,5599,14.7,2717
1776796228,23.5,5599,14.7,2717
1776796232,23.5,5599,14.7,2717
1776796233,23.5,5599,14.7,2717
1776796236,23.5,5599,14.7,2717
1776796239,23.5,5599,14.7,2719
1776796289,23.5,5599,14.7,2719
1776796291,23.5,5599,14.7,2719
1776796293,23.5,5599,14.7,2719
1776796295,23.5,5599,14.7,2719
1776796297,23.5,5599,14.7,2719
1776796298,23.5,5599,14.7,2719
1776796313,23.5,5599,14.7,2719
1776796315,23.5,5599,14.7,2719
1776796380,23.5,5599,14.7,2720
1776796384,23.5,5599,14.7,2720
1776796387,23.5,5599,14.7,2720
1776796391,23.5,5599,14.7,2720
1776796413,23.5,5599,14.7,2720
1776796462,23.5,5599,14.7,2720
1776796464,23.5,5599,14.7,2720
1776796477,23.5,5599,14.7,2720
1776796483,23.5,5599,14.7,2720
1776796488,23.5,5599,14.7,2720
1776796499,23.5,5605,14.7,2723
1776796554,23.5,5605,14.7,2723
1776796555,23.5,5605,14.7,2723
1776796557,23.5,5605,14.7,2723
1776796562,23.5,5605,14.7,2723
1776796596,23.5,5605,14.7,2723
1776796643,23.5,5605,14.7,2723
1776796653,23.5,5605,14.7,2723
1776796656,23.5,5605,14.7,2723
1776796660,23.5,5605,14.7,2723
1776796661,23.5,5605,14.7,2724
1776796667,23.5,5608,14.7,2728
1776796672,23.5,5608,14.7,2730
1776796674,23.5,5608,14.7,2730
1776796674,23.5,5608,14.7,2730
1776796675,23.5,5608,14.7,2730
1776796678,23.5,5608,14.7,2730
1776796679,23.5,5608,14.7,2730
1776796681,23.5,5608,14.7,2731
1776796682,23.5,5608,14.7,2731
1776796684,23.5,5608,14.7,2731
1776796690,23.5,5608,14.7,2731
1776796692,23.5,5608,14.7,2731
1776796693,23.5,5608,14.7,2731
1776796695,23.5,5608,14.7,2731
1776796697,23.5,5608,14.7,2731
1776796702,23.5,5608,14.8,2732
1776796734,23.5,5608,14.8,2732
1776796735,23.5,5610,14.8,2736
1776796737,23.5,5610,14.8,2736
1776796740,23.5,5610,14.8,2736
1776796760,23.5,5610,14.8,2736
1776796765,23.5,5610,14.8,2736
1776796769,23.5,5610,14.8,2736
1776796770,23.5,5610,14.8,2738
1776796772,23.5,5610,14.8,2738
1776796796,23.5,5610,14.8,2738
1776796800,23.5,5610,14.8,2738
1776796802,23.5,5613,14.8,2741
1776796804,23.5,5613,14.8,2741
1776796808,23.5,5613,14.8,2741
1776796810,23.5,5613,14.8,2741
1776796814,23.6,5625,14.8,2748
1776796816,23.6,5625,14.8,2748
1776796858,23.6,5625,14.8,2748
1776796860,23.6,5625,14.8,2748
1776796890,23.6,5625,14.8,2748
1776796897,23.6,5625,14.8,2748
1776796923,23.6,5625,14.8,2748
1776796926,23.6,5625,14.8,2748
1776796928,23.6,5625,14.8,2748
1776796974,23.6,5625,14.8,2748
1776797014,23.6,5625,14.8,2748
1776797025,23.6,5625,14.8,2748
1776797028,23.6,5625,14.8,2748
1776797036,23.6,5625,14.8,2748
1776797039,23.6,5625,14.8,2748
1776797042,23.6,5625,14.8,2748
1776797052,23.6,5625,14.8,2748
1776797079,23.6,5625,14.8,2748
1776797099,23.6,5625,14.8,2748
1776797126,23.6,5625,14.8,2748
1776797151,23.6,5625,14.8,2748
1776797155,23.6,5625,14.8,2748
1776797160,23.6,5627,14.8,2750
1776797161,23.6,5627,14.8,2750
1776797163,23.6,5627,14.8,2750
1776797165,23.6,5627,14.8,2750
1776797198,23.6,5627,14.8,2750
1776797214,23.6,5627,14.8,2750
1776797215,23.6,5627,14.8,2750
1776797217,23.6,5627,14.8,2750
1776797223,23.6,5627,14.8,2750
1776797231,23.6,5627,14.8,2750
1776797241,23.6,5627,14.8,2750
1776797281,23.6,5627,14.8,2750
1776797281,23.6,5627,14.8,2750
1776797285,23.6,5627,14.8,2750
1776797316,23.6,5627,14.8,2750
1776797317,23.6,5627,14.8,2750
1776797320,23.6,5627,14.8,2750
1776797326,23.6,5627,14.8,2750
1776797352,23.6,5627,14.8,2750
1776797368,23.6,5627,14.8,2750
1776797376,23.6,5627,14.8,2750
